======================================
 城市急救车辆调度与医院接收匹配系统
 基线模型：Dijkstra + 在线最近车辆 + 最近医院
======================================

请输入路口数量 n 和道路数量 m：200 549

请输入每条道路信息：
格式：起点 终点 基础通行时间 拥堵系数
说明：实际通行时间 = 基础通行时间 × 拥堵系数
第 1 条道路：1 2 10 1
第 2 条道路：2 3 4 2
第 3 条道路：2 27 7 1
第 4 条道路：3 4 4 1
第 5 条道路：3 19 4 1
第 6 条道路：3 20 14 2
第 7 条道路：3 33 4 1
第 8 条道路：4 5 9 1
第 9 条道路：4 14 8 2
第 10 条道路：4 31 3 1
第 11 条道路：5 6 7 1
第 12 条道路：5 7 14 1
第 13 条道路：5 32 7 2
第 14 条道路：6 7 7 2
第 15 条道路：6 11 7 1
第 16 条道路：6 25 11 1
第 17 条道路：7 8 4 1
第 18 条道路：7 10 9 1
第 19 条道路：8 9 5 1
第 20 条道路：8 12 15 1
第 21 条道路：8 17 12 2
第 22 条道路：8 21 3 1
第 23 条道路：8 24 4 1
第 24 条道路：8 32 5 1
第 25 条道路：8 34 4 1
第 26 条道路：8 36 5 1
第 27 条道路：9 10 3 2
第 28 条道路：9 23 15 1
第 29 条道路：10 11 12 2
第 30 条道路：10 30 10 2
第 31 条道路：11 12 8 3
第 32 条道路：12 13 3 1
第 33 条道路：12 17 9 1
第 34 条道路：12 33 6 2
第 35 条道路：12 41 3 1
第 36 条道路：13 14 2 3
第 37 条道路：13 30 11 1
第 38 条道路：13 43 8 2
第 39 条道路：14 15 3 2
第 40 条道路：14 16 12 1
第 41 条道路：14 35 15 1
第 42 条道路：14 44 3 1
第 43 条道路：15 16 11 1
第 44 条道路：15 23 11 2
第 45 条道路：15 33 3 2
第 46 条道路：15 39 3 1
第 47 条道路：16 17 9 2
第 48 条道路：16 41 11 1
第 49 条道路：16 42 10 3
第 50 条道路：16 44 5 1
第 51 条道路：17 18 11 2
第 52 条道路：17 21 12 1
第 53 条道路：17 33 11 1
第 54 条道路：18 19 11 1
第 55 条道路：18 24 6 2
第 56 条道路：18 29 6 1
第 57 条道路：18 37 14 1
第 58 条道路：18 41 2 1
第 59 条道路：19 20 3 1
第 60 条道路：19 21 8 1
第 61 条道路：19 22 3 1
第 62 条道路：19 34 3 1
第 63 条道路：19 35 13 1
第 64 条道路：20 21 12 1
第 65 条道路：20 29 4 2
第 66 条道路：20 36 7 1
第 67 条道路：20 40 3 1
第 68 条道路：20 42 8 2
第 69 条道路：21 22 4 1
第 70 条道路：21 23 5 3
第 71 条道路：22 23 10 1
第 72 条道路：22 31 2 1
第 73 条道路：22 32 5 1
第 74 条道路：22 50 12 1
第 75 条道路：23 24 2 1
第 76 条道路：23 38 2 1
第 77 条道路：23 39 2 2
第 78 条道路：23 40 10 1
第 79 条道路：23 47 4 2
第 80 条道路：24 25 5 1
第 81 条道路：24 49 2 1
第 82 条道路：25 26 2 1
第 83 条道路：25 36 8 1
第 84 条道路：25 37 12 1
第 85 条道路：25 50 14 2
第 86 条道路：26 27 3 1
第 87 条道路：26 47 7 1
第 88 条道路：26 52 12 2
第 89 条道路：27 28 6 1
第 90 条道路：27 39 10 3
第 91 条道路：28 29 8 1
第 92 条道路：28 54 6 2
第 93 条道路：29 30 3 1
第 94 条道路：29 33 15 1
第 95 条道路：29 37 5 2
第 96 条道路：29 39 2 1
第 97 条道路：29 58 5 2
第 98 条道路：30 31 11 2
第 99 条道路：30 43 4 1
第 100 条道路：31 32 3 1
第 101 条道路：31 33 14 1
第 102 条道路：31 60 11 1
第 103 条道路：32 33 10 1
第 104 条道路：32 40 3 1
第 105 条道路：32 42 6 2
第 106 条道路：32 43 13 2
第 107 条道路：32 53 5 1
第 108 条道路：33 34 2 3
第 109 条道路：34 35 10 1
第 110 条道路：34 42 11 1
第 111 条道路：34 44 15 1
第 112 条道路：34 47 9 1
第 113 条道路：35 36 11 2
第 114 条道路：35 37 5 2
第 115 条道路：35 39 10 3
第 116 条道路：36 37 7 3
第 117 条道路：36 38 6 1
第 118 条道路：37 38 6 2
第 119 条道路：37 50 4 1
第 120 条道路：37 56 11 1
第 121 条道路：38 39 11 1
第 122 条道路：38 53 12 1
第 123 条道路：38 59 7 1
第 124 条道路：39 40 5 1
第 125 条道路：39 41 9 1
第 126 条道路：39 51 3 1
第 127 条道路：40 41 5 1
第 128 条道路：40 43 4 1
第 129 条道路：40 54 12 1
第 130 条道路：40 60 8 2
第 131 条道路：41 42 2 1
第 132 条道路：41 46 15 3
第 133 条道路：42 43 4 2
第 134 条道路：42 51 9 1
第 135 条道路：42 55 15 1
第 136 条道路：43 44 9 1
第 137 条道路：43 56 10 1
第 138 条道路：44 45 11 1
第 139 条道路：44 71 12 2
第 140 条道路：45 46 11 1
第 141 条道路：45 48 8 3
第 142 条道路：46 47 12 1
第 143 条道路：47 48 11 2
第 144 条道路：47 52 15 2
第 145 条道路：48 49 2 1
第 146 条道路：48 52 6 1
第 147 条道路：49 50 7 1
第 148 条道路：49 52 10 2
第 149 条道路：49 58 3 2
第 150 条道路：49 62 2 1
第 151 条道路：50 51 5 2
第 152 条道路：50 64 14 1
第 153 条道路：50 79 15 1
第 154 条道路：51 52 4 1
第 155 条道路：51 65 9 1
第 156 条道路：51 67 5 2
第 157 条道路：51 77 4 2
第 158 条道路：52 53 3 2
第 159 条道路：52 67 15 1
第 160 条道路：52 77 14 1
第 161 条道路：53 54 6 2
第 162 条道路：53 71 7 1
第 163 条道路：53 73 4 1
第 164 条道路：53 75 15 1
第 165 条道路：54 55 9 1
第 166 条道路：54 74 10 2
第 167 条道路：55 56 10 2
第 168 条道路：55 72 13 1
第 169 条道路：55 75 7 1
第 170 条道路：55 78 9 1
第 171 条道路：55 82 5 2
第 172 条道路：56 57 12 1
第 173 条道路：56 66 14 1
第 174 条道路：56 83 6 1
第 175 条道路：57 58 10 1
第 176 条道路：57 61 11 1
第 177 条道路：57 78 2 1
第 178 条道路：58 59 7 1
第 179 条道路：58 66 8 1
第 180 条道路：58 69 11 2
第 181 条道路：59 60 2 1
第 182 条道路：60 61 9 2
第 183 条道路：60 62 9 1
第 184 条道路：60 74 12 1
第 185 条道路：60 88 14 1
第 186 条道路：60 89 12 2
第 187 条道路：60 90 12 3
第 188 条道路：61 62 9 1
第 189 条道路：61 87 15 1
第 190 条道路：62 63 9 2
第 191 条道路：62 75 4 1
第 192 条道路：62 84 5 1
第 193 条道路：62 88 13 2
第 194 条道路：63 64 9 1
第 195 条道路：64 65 11 2
第 196 条道路：65 66 5 2
第 197 条道路：65 71 3 1
第 198 条道路：66 67 3 1
第 199 条道路：66 85 12 1
第 200 条道路：66 86 8 1
第 201 条道路：66 87 7 1
第 202 条道路：67 68 11 1
第 203 条道路：68 69 4 1
第 204 条道路：68 83 15 1
第 205 条道路：69 70 10 2
第 206 条道路：69 77 5 1
第 207 条道路：69 90 13 1
第 208 条道路：70 71 7 1
第 209 条道路：70 100 3 1
第 210 条道路：71 72 11 1
第 211 条道路：71 84 12 1
第 212 条道路：71 97 4 1
第 213 条道路：72 73 7 1
第 214 条道路：72 75 14 2
第 215 条道路：72 90 5 1
第 216 条道路：73 74 10 2
第 217 条道路：73 77 9 1
第 218 条道路：73 89 2 1
第 219 条道路：73 103 3 1
第 220 条道路：74 75 3 1
第 221 条道路：75 76 5 1
第 222 条道路：75 97 7 1
第 223 条道路：76 77 10 2
第 224 条道路：76 100 13 2
第 225 条道路：77 78 8 3
第 226 条道路：77 101 2 1
第 227 条道路：78 79 6 1
第 228 条道路：79 80 9 2
第 229 条道路：79 106 8 1
第 230 条道路：79 108 7 1
第 231 条道路：80 81 10 2
第 232 条道路：80 91 14 2
第 233 条道路：80 100 12 1
